precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"APOPEI MARIUS-VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NIŢĂ VASILE-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CARABELEA ANDREI-PARTIDUL NAȚIONAL LIBERAL-voturi","BABĂTĂ VASILE-ROMÂNIA SOCIALISTĂ-voturi","BĂLTOG CONSTANTIN-PARTIDUL PROGRESIST-voturi","PANAITE VASILE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","POPA MARIUS-LOREDAN-PARTIDUL S.O.S. ROMÂNIA-voturi","TATOMIR ALINA-MIHAELA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","LEHĂDUŞ ALIN-ŞTEFAN-voturi","LUCA-MOISE FLORENTINA-voturi","ACATRINEI DIANA-NICOLETA-voturi"
29,NEAMŢ,"CASA CORPULUI DIDACTIC",54,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:28:42",1295,1289,2,4,0,601,597,0,4,0,562,39,1400,799,49,177,162,9,5,54,22,34,7,23,20
29,NEAMŢ,"CENTRUL DE SPRIJIN ȘI ASISTENȚĂ DE SPECIALITATE PENTRU COPII",21,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:21:48",1387,1373,3,11,0,483,472,0,11,0,464,19,1500,1017,25,155,113,1,3,66,30,31,5,18,17
29,NEAMŢ,"CENTRUL SOCIAL - CARTIER SPERANŢA",36,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:05:09",903,895,0,8,0,416,408,0,8,0,389,22,1000,587,30,117,111,5,4,52,28,8,6,14,14
29,NEAMŢ,"CENTRUL SOCIAL PIETRICICA",28,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:31:47",1536,1532,0,4,0,648,644,0,4,0,626,22,1701,1053,37,226,176,6,1,58,13,36,10,33,30
29,NEAMŢ,"CLĂDIRE ADMINISTRATIVĂ S.C. CMI URBAN S.A. (ŞTRAND MUNICIPAL)",37,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:07:34",722,714,0,7,1,284,276,0,7,1,267,17,800,516,27,53,99,2,3,24,20,16,6,6,11
29,NEAMŢ,"COLEGIUL NAȚIONAL ”CALISTRAT HOGAȘ”",7,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:45:22",1275,1270,0,5,0,404,399,0,5,0,396,8,1400,996,36,108,135,4,11,27,9,28,10,21,7
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",29,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:58:39",1784,1775,0,9,0,714,705,0,9,0,685,29,1900,1186,37,204,238,2,4,75,13,41,22,29,20
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",34,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:30",886,885,0,1,0,360,359,0,1,0,346,14,1000,640,17,129,105,1,0,21,11,21,7,4,30
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",30,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:23:58",1644,1632,4,8,0,798,790,0,8,0,776,22,1800,1002,66,199,258,8,9,77,17,62,30,22,28
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",32,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:20:52",1261,1250,2,9,0,556,547,0,9,0,522,16,1400,862,39,148,178,22,6,43,16,25,16,23,6
