precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PETRE IONELA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","COJOCARU CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","FUNIE PETRE-PARTIDUL SOCIAL DEMOCRAT-voturi"
3,ARGEŞ,"ŞCOALA GEN.NR.2 CLASELE I-IV",467,SLOBOZIA,18741,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:33:59",1836,1824,0,0,12,1066,1054,0,0,12,1035,31,2000,934,46,652,337
3,ARGEŞ,"ŞCOALA NIGRIŞOARA",469,SLOBOZIA,18741,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:24:19",248,241,0,4,3,176,169,0,4,3,172,4,305,129,5,114,53
3,ARGEŞ,"ȘOALA GENERALĂ DIN CENTRUL COMUNEI",468,SLOBOZIA,18741,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:06:21",1590,1580,0,4,6,1066,1056,0,4,6,1038,28,1700,634,70,620,348
