precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CUCLEA DĂNUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","TILEA DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DACIU GEORGEL-PARTIDUL NAȚIONAL LIBERAL-voturi","MANEA TUDOR-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BOCIOROAGĂ CAMELUŞ-PARTIDUL PATRIOȚILOR-voturi","SILIMON ADRIAN-EMANUEL-voturi"
36,TELEORMAN,"CENTRU EDUCAȚIONAL",71,"MUNICIPIUL TURNU MĂGURELE",151683,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:02:43",1229,1223,0,6,0,400,394,0,6,0,380,20,1350,950,200,49,82,10,3,36
36,TELEORMAN,"COLEGIUL NAŢIONAL ”UNIREA”",65,"MUNICIPIUL TURNU MĂGURELE",151683,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:42:45",1151,1115,2,6,28,514,480,0,6,28,505,9,1230,716,296,18,77,26,15,73
36,TELEORMAN,"COLEGIUL NAŢIONAL ”UNIREA”",64,"MUNICIPIUL TURNU MĂGURELE",151683,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:13:38",1040,1029,3,8,0,442,432,2,8,0,414,18,1140,708,234,24,73,24,4,55
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR.2",73,"MUNICIPIUL TURNU MĂGURELE",151683,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:57:28",1212,1201,1,5,5,501,491,0,5,5,473,18,1322,821,273,54,86,21,4,35
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR.3",56,"MUNICIPIUL TURNU MĂGURELE",151683,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:09:23",531,526,0,1,4,531,526,0,1,4,513,17,1320,789,248,41,63,11,23,127
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR.3",57,"MUNICIPIUL TURNU MĂGURELE",151683,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:49:43",1027,1023,0,4,0,412,408,0,4,0,391,21,1130,718,170,29,46,8,15,123
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.1",62,"MUNICIPIUL TURNU MĂGURELE",151683,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:15:58",836,829,0,5,2,255,248,0,5,2,242,13,910,655,158,15,33,6,4,26
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.1",63,"MUNICIPIUL TURNU MĂGURELE",151683,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:25:25",1170,1162,2,6,0,327,321,0,6,0,310,17,1290,963,197,32,49,8,10,14
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.5",70,"MUNICIPIUL TURNU MĂGURELE",151683,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:33:57",973,961,1,11,0,385,374,0,11,0,377,8,1060,675,207,22,70,18,11,49
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.7",59,"MUNICIPIUL TURNU MĂGURELE",151683,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:49:09",1629,1623,0,5,1,620,614,0,5,1,597,19,1800,999,328,35,83,19,15,117
36,TELEORMAN,"LICEUL TEHNOLOGIC ”GENERAL DAVID PRAPORGESCU”",60,"MUNICIPIUL TURNU MĂGURELE",151683,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:54:19",1254,1252,0,2,0,492,490,0,2,0,479,13,1420,928,244,41,86,19,11,78
