precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ SĂRULEŞTI",272,LĂPUŞATA,170792,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:25:23",1054,1015,0,26,13,753,714,0,26,13,709,44,1054,301,213,192,32,125,120,27
40,VÂLCEA,"ŞCOALA PRIMARĂ BROŞTENI",273,LĂPUŞATA,170792,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:39:26",558,538,0,15,5,380,360,0,15,5,358,22,590,210,138,97,11,36,70,6
