precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","VAMOŞ SORIN-VIRGIL-voturi"
13,CLUJ,"GRADINITA ”DUMBRAVA MINUNATĂ”",9,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:03:02",1516,1499,5,10,2,724,712,0,10,2,711,13,1664,940,96,55,125,233,16,3,115,44,4,20
13,CLUJ,"GRĂDINIŢA ”DUMBRAVA MINUNATĂ” (FOSTA 66),",10,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:16:48",1462,1448,5,8,1,643,634,0,8,1,629,14,1599,956,71,65,98,207,10,1,93,46,6,32
13,CLUJ,"GRADINIŢA ”LICURICI” (FOSTA STELUŢA FERMECATĂ), STR.FÂNTÂNELE NR.46",43,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:21:40",1568,1557,2,9,0,811,802,0,9,0,790,21,1732,919,83,66,114,231,17,5,166,77,11,20
13,CLUJ,"GRADINIŢA ”LICURICI” (FOSTA STELUŢA FERMECATĂ), STR.FÂNTÂNELE NR.46",42,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:49:04",1284,1279,0,5,0,665,660,0,5,0,645,20,1430,758,105,40,129,192,6,6,102,43,6,16
13,CLUJ,"GRĂDINIŢA ” LUMEA COPIILOR” (FOSTĂ NR. 20),",109,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:00:24",1575,1562,4,6,3,672,663,0,6,3,654,18,1726,1054,67,55,123,196,16,9,90,67,5,26
13,CLUJ,"GRĂDINIŢA ” LUMEA COPIILOR” (FOSTĂ NR. 20),",110,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:23:32",1447,1435,2,10,0,657,647,0,10,0,640,17,1581,924,66,40,112,220,18,7,135,25,2,15
13,CLUJ,"GRĂDINIŢA ”LUMEA COPIILOR”, STR.SEPTIMIU ALBINI NR 53",106,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:36:33",966,941,12,13,0,521,508,0,13,0,512,9,1044,523,57,28,115,144,17,6,90,44,2,9
13,CLUJ,"GRADINIŢA” MICA SIRENA” (FOSTĂ 64),",41,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:50:43",1428,1410,4,13,1,765,751,0,13,1,747,18,1565,800,80,43,106,227,26,8,162,70,7,18
13,CLUJ,"GRĂDINIŢA ”NEGHINIŢĂ”",168,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:45:18",1747,1724,7,15,1,856,839,1,15,1,849,7,1932,1076,78,89,177,235,29,6,148,49,5,33
13,CLUJ,"GRĂDINIŢA ”NEGHINIŢĂ”",167,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 12:13:31",1863,1833,17,11,2,772,759,0,11,2,748,22,2045,1275,75,71,79,253,39,16,125,54,10,26
13,CLUJ,"GRĂDINIŢA ”NEGHINIŢĂ”",169,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:24:09",1811,1801,6,4,0,879,875,0,4,0,864,15,2019,1140,81,86,158,281,26,5,139,50,9,29
13,CLUJ,"GRĂDINIŢA ”NEGHINIŢĂ”",166,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:07:23",1760,1751,2,7,0,827,820,0,7,0,808,19,1952,1125,82,97,99,258,29,7,153,48,3,32
13,CLUJ,"GRADINIŢA ”POIENIŢA”,",98,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:30:47",1620,1579,20,20,1,806,784,1,20,1,793,13,1758,952,89,49,122,221,11,8,170,93,8,22
13,CLUJ,"GRADINIŢA ”POIENIŢA”,",99,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:40:53",1889,1847,32,10,0,1093,1079,4,10,0,1069,15,2075,991,73,60,98,311,12,5,334,149,3,24
13,CLUJ,"GRADINIŢA ”POIENIŢA”,",100,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:05:06",1837,1810,16,9,2,943,932,0,9,2,930,13,2043,1100,82,73,132,286,13,9,187,116,8,24
13,CLUJ,"GRADINIŢA ”POIENIŢA”,",101,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-11 12:08:07",1955,1886,57,12,0,1050,1038,0,12,0,1024,26,2139,1089,62,60,94,356,10,2,297,112,4,27
13,CLUJ,"GRADINIŢA ”UNIVERSUL COPIILOR” (FOSTĂ NR.71)",82,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:49:27",1344,1337,2,3,2,591,586,0,3,2,576,15,1474,880,83,50,78,221,14,8,78,22,5,17
13,CLUJ,"GRADINIŢA ”ZÎNA ZORILOR”, STR.L.PASTEUR NR.12",58,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:13:55",1907,1617,243,12,35,751,704,0,12,35,741,3,2061,1310,94,54,105,251,19,5,132,58,8,15
13,CLUJ,"GRĂDINŢA ”MĂMARUŢA” (FOSTĂ NR. 42),",131,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:40:22",1595,1582,0,13,0,773,760,0,13,0,753,20,1741,968,90,68,75,258,20,7,137,64,5,29
13,CLUJ,"GRUP ŞCOLAR ”SAMUS”",159,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:50:30",1435,1422,3,10,0,688,678,0,10,0,677,11,1571,883,124,91,75,206,17,12,75,44,11,22
13,CLUJ,"GRUP ŞCOLAR ”SAMUS”",158,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:25:12",1525,1518,2,5,0,683,678,0,5,0,673,10,1715,1022,79,72,89,234,20,2,108,36,6,27
13,CLUJ,"GRUP ŞCOLAR ”SAMUS”",157,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:27:44",1590,1579,2,9,0,715,706,0,9,0,693,18,1738,1018,98,51,124,234,19,3,100,43,5,16
13,CLUJ,"INSTITUTUL DE CERCETARI ÎN CHIMIE ”RALUCA RIPAN”",44,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:06:12",1545,1534,4,7,0,733,726,0,7,0,716,17,1690,957,96,54,118,225,16,2,106,61,9,29
13,CLUJ,"INSTITUTUL DE CERCETARI ÎN CHIMIE ”RALUCA RIPAN”",45,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:06:27",1416,1405,2,9,0,710,701,0,9,0,688,20,1551,841,77,33,138,198,12,5,137,63,4,21
13,CLUJ,"INSTITUTUL DE CERCETARI ÎN CHIMIE” RALUCA RIPAN”,",47,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:10:45",1824,1790,10,21,3,864,839,1,21,3,846,18,1999,1135,105,66,177,218,25,11,148,65,6,25
13,CLUJ,"INSTITUTUL DE CERCETARI ÎN CHIMIE” RALUCA RIPAN”,",46,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:54:30",1516,1499,2,12,3,810,795,0,12,3,794,16,1652,842,77,66,154,229,17,8,146,71,6,20
13,CLUJ,"LICEUL CU PROGRAM SPORTIV (FOSTA SCOALA NR.20).",22,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:31:45",1465,1459,1,5,0,667,662,0,5,0,652,15,1608,941,93,91,55,210,19,4,100,48,8,24
13,CLUJ,"LICEUL CU PROGRAM SPORTIV (FOSTA SCOALA NR.20).",21,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:08:28",1514,1501,4,9,0,751,742,0,9,0,728,23,1684,933,89,71,69,256,15,9,119,66,7,27
13,CLUJ,"LICEUL CU PROGRAM SPORTIV (FOSTA SCOALA NR.20).",20,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:26:14",1534,1527,2,5,0,733,728,0,5,0,721,12,1700,967,92,71,61,262,18,5,129,47,8,28
13,CLUJ,"LICEUL DE INFORMATICĂ „TIBERIU POPOVICIU”",54,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:19:08",1474,1429,27,18,0,780,762,0,18,0,768,12,1605,825,60,44,67,244,10,1,227,85,4,26
13,CLUJ,"LICEUL DE INFORMATICĂ „TIBERIU POPOVICIU”",51,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:49:50",1416,1314,90,11,1,658,647,0,10,1,643,15,1533,875,72,44,87,202,11,9,141,44,8,25
13,CLUJ,"LICEUL DE INFORMATICĂ „TIBERIU POPOVICIU”",53,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:20:32",2049,1939,88,22,0,971,949,0,22,0,961,10,2242,1271,99,70,81,314,14,7,215,132,6,23
13,CLUJ,"LICEUL DE INFORMATICĂ „TIBERIU POPOVICIU”",50,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:49:04",1559,1497,47,14,1,737,720,2,14,1,722,15,1697,956,97,53,63,283,14,8,121,60,10,13
13,CLUJ,"LICEUL DE INFORMATICĂ „TIBERIU POPOVICIU”",56,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:33:26",1987,1911,59,17,0,1034,1017,0,17,0,1022,12,2160,1126,102,74,61,320,13,21,259,127,9,36
13,CLUJ,"LICEUL DE INFORMATICĂ „TIBERIU POPOVICIU”",55,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:39:25",2067,1976,60,22,9,1030,998,1,22,9,1015,15,2228,1198,87,60,93,346,11,4,262,114,6,32
13,CLUJ,"LICEUL DE INFORMATICĂ „TIBERIU POPOVICIU”",48,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:39:42",1480,1448,20,9,3,710,698,0,9,3,698,12,1644,934,81,55,98,246,21,12,105,52,3,25
13,CLUJ,"LICEUL DE INFORMATICĂ „TIBERIU POPOVICIU”",52,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:15:08",1139,1085,48,6,0,501,495,0,6,0,491,10,1266,765,48,50,76,162,12,4,86,30,11,12
13,CLUJ,"LICEUL DE INFORMATICĂ „TIBERIU POPOVICIU”",49,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:22:18",1387,1317,61,8,1,665,656,0,8,1,652,13,1524,859,87,54,68,233,13,13,116,43,6,19
13,CLUJ,"LICEUL TEHNOLOGIC ”AL. BORZA”",117,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 12:07:09",1792,1680,78,32,2,842,808,0,32,2,828,14,1926,1084,62,49,95,266,16,4,189,107,5,35
13,CLUJ,"LICEUL TEHNOLOGIC ”AL. BORZA”",118,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 13:46:46",1850,1750,56,44,0,904,858,2,44,0,894,10,1978,1074,39,43,39,308,9,1,262,155,4,34
13,CLUJ,"LICEUL TEHNOLOGIC ”AUREL VLAICU”",179,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:58:35",1796,1782,3,10,1,736,725,0,10,1,726,10,1991,1255,97,91,60,270,19,9,100,35,13,32
13,CLUJ,"LICEUL TEHNOLOGIC ”AUREL VLAICU”",178,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:18:59",1693,1673,14,6,0,855,853,0,2,0,836,19,1867,1012,75,73,83,303,27,6,161,75,8,25
13,CLUJ,"LICEUL TEOLOGIC ”EMANUEL”",164,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:08:18",1722,1699,10,9,4,861,848,0,9,4,850,11,1914,1053,98,66,146,233,21,6,180,69,3,28
13,CLUJ,"LICEUL TEOLOGIC ”EMANUEL”",165,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:42:03",1503,1490,0,10,3,759,746,0,10,3,744,15,1693,934,60,69,203,178,16,3,136,53,4,22
13,CLUJ,"LICEUL TEORETIC ”A. IANCU”,",138,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:50:20",1914,1807,79,28,0,852,820,4,28,0,845,7,2053,1201,77,61,134,245,11,7,197,89,7,17
13,CLUJ,"LICEUL TEORETIC „ELF”",63,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:04:30",1881,1823,32,26,0,971,944,1,26,0,957,14,2030,1059,45,36,58,295,6,3,336,152,4,22
13,CLUJ,"LICEUL TEORETIC ”EUGEN PORA”",26,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:40:49",1684,1657,18,9,0,718,709,0,9,0,717,1,1846,1128,108,65,59,279,20,10,109,32,9,26
13,CLUJ,"LICEUL TEORETIC ”EUGEN PORA”",23,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:20:18",1586,1569,8,9,0,725,716,0,9,0,709,16,1744,1019,79,71,61,263,33,4,122,45,10,21
13,CLUJ,"LICEUL TEORETIC ”EUGEN PORA”",25,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:32:51",818,808,4,6,0,337,331,0,6,0,324,13,892,555,50,29,22,124,12,4,37,25,5,16
13,CLUJ,"LICEUL TEORETIC ”EUGEN PORA”",27,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:51:46",1487,1471,5,11,0,583,572,0,11,0,575,8,1644,1061,111,62,52,208,22,4,67,31,7,11
13,CLUJ,"LICEUL TEORETIC ”EUGEN PORA”",24,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:35:08",1516,1510,0,6,0,680,674,0,6,0,669,11,1661,981,99,67,78,252,22,4,77,41,7,22
13,CLUJ,"LICEUL TEORETIC ”LUCIAN BLAGA”",113,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:18:20",1195,1154,19,21,1,564,541,1,21,1,552,12,1295,731,62,39,117,150,13,6,109,43,5,8
