precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞTEFOI EMILIAN-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FLOREA DORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","MOŞNEANG MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","SALA GABRIEL-PARTIDUL MIȘCAREA POPULARĂ-voturi"
2,ARAD,"PRIMĂRIA COMUNEI ȘEITIN",369,ŞEITIN,12206,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:56:20",1233,1197,5,12,19,757,725,1,12,19,734,23,1318,561,44,379,289,22
2,ARAD,"ȘCOALA GIMNAZIALĂ „ȘTEFAN BOZIAN” ȘEITIN",370,ŞEITIN,12206,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:13:49",1287,1266,6,5,10,760,744,1,5,10,724,36,1390,630,33,319,365,7
