precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","POPA ANTONIE-voturi"
11,CARAŞ-SEVERIN,"CAMIN CULTURAL SICHEVITA",318,SICHEVIŢA,53853,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:47:22",1235,1161,2,14,58,879,805,2,14,58,833,46,1272,393,234,66,226,84,62,39,94,28
11,CARAŞ-SEVERIN,"CENTRUL LOCAL DE INFORMARE TURISTICĂ LIBORAJDEA",320,SICHEVIŢA,53853,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:00:03",82,63,2,11,6,51,34,0,11,6,47,4,68,17,11,5,14,12,4,0,0,1
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM NORMAL GORNEA",319,SICHEVIŢA,53853,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:17:50",467,445,0,9,13,280,258,0,9,13,269,11,490,210,64,16,37,65,14,16,14,43
