precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
13,CLUJ,"PRIMARIA COMUNEI",529,MĂGURI-RĂCĂTĂU,58357,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:26:19",706,703,0,3,0,489,486,0,3,0,476,13,777,288,210,25,202,8,8,23
13,CLUJ,"SCOALA GENERALA",530,MĂGURI-RĂCĂTĂU,58357,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:49:33",715,711,0,2,2,493,489,0,2,2,478,15,790,297,256,91,91,23,8,9
13,CLUJ,"SCOALA GIMNAZIALA MUNTELE-RECE",531,MĂGURI-RĂCĂTĂU,58357,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:49:51",444,433,1,9,1,316,306,0,9,1,310,6,483,167,137,9,154,2,1,7
