precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LUPANCU ABEL-GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LAVRIC TOADER-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","DUMITRESCU VASILE-DĂNUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi","BĂLAN LILIANA-PARTIDUL S.O.S. ROMÂNIA-voturi","ANDRIŞOAIE ALEXANDRU-ŞTEFAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"CAMIN CULTURAL",454,"SATU MARE",150196,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:06:29",1188,1181,0,4,3,645,638,0,4,3,632,13,1300,655,121,204,247,9,51
35,SUCEAVA,"SCOALA GIMNAZIALA SAT TIBENI",456,"SATU MARE",150196,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:00",1163,1159,2,0,2,546,544,0,0,2,533,13,1300,754,69,213,188,19,44
35,SUCEAVA,"SCOALA GIMNAZIALA SATU MARE",455,"SATU MARE",150196,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:06:54",1231,1224,0,7,0,680,673,0,7,0,667,13,1238,558,99,304,224,13,27
