precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LOZNEANU VIOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","AGACHE VICTOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BURLACU LAURENŢIU-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞTEFURĂ IULIAN-RĂZVAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","AILIOAIE GHEORGHE-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","LUNTRARIU GHEORGHIŢĂ-voturi"
7,BOTOŞANI,"CAMIN CULTURAL",291,LOZNA,39942,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:42:03",717,710,0,4,3,355,348,0,4,3,338,17,800,445,162,12,78,75,5,6
7,BOTOŞANI,"CAMIN CULTURAL",290,LOZNA,39942,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:20:40",812,804,0,3,5,441,433,0,3,5,422,19,882,441,239,32,98,38,3,12
