precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BURDA GABRIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","VASILE MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞERBAN CONSTANTIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
30,OLT,"CAMIN CULTURAL STUDINA",322,STUDINA,129184,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:50:52",1243,1170,1,24,48,801,728,1,24,48,777,24,1340,539,91,680,6
30,OLT,"CAMIN CULTURAL STUDINIȚA",323,STUDINA,129184,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:02",910,872,0,11,27,544,506,0,11,27,523,15,983,439,22,431,70
