precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DEACONU CONSTANTIN-COSMIN-PARTIDUL NAȚIONAL LIBERAL-voturi","ANGHELESCU ILIE-COSMIN-PARTIDUL SOCIAL DEMOCRAT-voturi","UNGUREANU VASILE-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
40,VÂLCEA,"GRĂDINIŢA GRECI",285,MATEEŞTI,171067,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:42:07",470,423,0,21,26,319,275,0,21,23,306,13,500,181,110,193,3
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ MATEEŞTI",284,MATEEŞTI,171067,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:14:01",1081,1003,2,37,39,743,667,0,37,39,714,29,1150,407,157,547,10
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ TURCEŞTI",286,MATEEŞTI,171067,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:12:29",1088,997,2,46,43,721,630,2,46,43,691,30,1090,369,77,606,8
