precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
14,CONSTANŢA,"GRĂDINIŢĂ NOUĂ",552,TUZLA,60721,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:14:46",1349,1333,2,10,4,823,809,0,10,4,807,16,1481,658,192,216,113,83,72,21,90,20
14,CONSTANŢA,"GRADINITA VECHE",549,TUZLA,60721,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:22:04",1151,1129,1,14,7,652,631,0,14,7,637,15,1245,593,264,130,71,109,12,14,27,10
14,CONSTANŢA,"ŞCOALA MARE TUZLA",551,TUZLA,60721,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:27:45",1820,1803,0,9,8,961,944,0,9,8,915,44,1980,1021,218,216,167,156,32,27,82,17
14,CONSTANŢA,"ŞCOALA MICĂ TUZLA",550,TUZLA,60721,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:20:23",1753,1723,2,22,6,997,969,0,22,6,971,26,1895,898,288,231,156,157,18,14,81,26
