precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUMEA EUGEN-PARTIDUL SOCIAL DEMOCRAT-voturi","PATRICHE DĂNUŢ-UNIUNEA SALVAȚI ROMÂNIA-voturi","IŞTOC IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ARTENIE MITICĂ-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
4,BACĂU,"ŞCOALA COSTACHE NEGRI SATUL NEGRI",455,NEGRI,23644,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:17",1060,1047,1,4,8,553,541,0,4,8,527,26,1100,547,116,255,145,11
4,BACĂU,"ŞCOALA ION IONESCU DE LA BRAD SATUL POIANA-NEGRI",456,NEGRI,23644,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:30",1177,1158,1,10,8,587,568,1,10,8,550,37,1300,713,242,46,258,4
