precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ARMENCIU RADU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VIŞA IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","MUŞOAIE ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
34,SIBIU,"CAMINUL CULTURAL NOCRICH",310,NOCRICH,145140,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:45",1189,1164,12,6,7,747,733,1,6,7,700,47,1300,553,105,174,421
34,SIBIU,"FOSTA SCOALA GHIJASA DE JOS",312,NOCRICH,145140,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:21:26",50,45,0,4,1,50,45,0,4,1,48,2,90,40,4,6,38
34,SIBIU,"SCOALA GIMNAZIALA HOSMAN",313,NOCRICH,145140,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:13:43",752,732,6,11,3,390,372,4,11,3,357,15,830,458,27,56,274
34,SIBIU,"SCOALA PRIMARA FOFELDEA",311,NOCRICH,145140,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:59:35",392,361,3,27,1,257,228,1,27,1,251,5,411,155,4,6,241
34,SIBIU,"SCOALA PRIMARA ŢICHINDEAL",314,NOCRICH,145140,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:20:51",150,142,2,2,4,96,90,0,2,4,81,15,156,60,6,31,44
