precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NAE ANTONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","BOBEŞ MIHAIL-PARTIDUL SOCIAL DEMOCRAT-voturi","ANTON MARIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
23,IALOMIŢA,"CĂMIN CULTURAL",218,"VALEA MĂCRIŞULUI",105794,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:21",361,339,0,5,17,248,226,0,5,17,233,15,409,161,6,167,60
23,IALOMIŢA,"CĂMIN CULTURAL",217,"VALEA MĂCRIŞULUI",105794,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:43:21",901,845,0,17,39,663,607,0,17,39,635,28,965,302,31,462,142
