precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RUS VALENTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CHIŞ-BĂLAN ILIE-PARTIDUL SOCIAL DEMOCRAT-voturi","FELDRIHAN GHIŢĂ-ADRIAN-BLOCUL SUVERANIST ROMÂN-voturi"
28,MUREŞ,"CĂMINUL CULTURAL",493,RUŞII-MUNŢI,119153,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:52:21",198,188,0,9,1,128,118,0,9,1,125,3,210,82,14,102,9
28,MUREŞ,"CĂMINUL CULTURAL",492,RUŞII-MUNŢI,119153,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:43:36",1238,1204,1,9,24,766,732,1,9,24,741,25,1354,588,113,507,121
28,MUREŞ,"FOSTA SCOALA PRIMARA",494,RUŞII-MUNŢI,119153,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:13:50",306,297,0,8,1,186,177,0,8,1,178,8,330,144,8,158,12
