precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"KENCSE ELŐD-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”ARANY JÁNOS” SÂNTIMBRU",247,SÂNTIMBRU,86519,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:40:16",995,979,2,0,14,555,541,0,0,14,525,30,1080,525,525
21,HARGHITA,"ŞCOALA PRIMARĂ PÁLSZEG SÂNTIMBRU",248,SÂNTIMBRU,86519,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:28:08",754,731,1,0,22,435,413,0,0,22,411,24,800,365,411
