precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","GURGUIATU ION-voturi"
25,ILFOV,"GRĂDINIŢA NR. 2 GAGU",205,DASCĂLU,102473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:03:32",698,682,0,16,0,487,471,0,16,0,467,14,711,230,138,19,39,252,19
25,ILFOV,"ŞCOALA GIMNAZIALĂ DASCĂLU",204,DASCĂLU,102473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:16:12",2042,1974,2,64,2,1370,1303,1,64,2,1323,47,2100,730,361,88,119,683,72
