precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","FORȚA DREPTEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
13,CLUJ,"COLEGIUL TEHNIC ”VICTOR UNGUREANU”",186,"MUNICIPIUL CÂMPIA TURZII",55357,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:27",1105,1100,0,5,0,404,399,0,5,0,385,19,1213,809,22,76,157,73,40,8,9
13,CLUJ,"COLEGIUL TEHNIC ”VICTOR UNGUREANU”",187,"MUNICIPIUL CÂMPIA TURZII",55357,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:45:20",1281,1271,0,7,3,476,466,0,7,3,451,25,1401,925,25,149,158,87,13,10,9
13,CLUJ,"COLEGIUL TEHNIC ”VICTOR UNGUREANU”",185,"MUNICIPIUL CÂMPIA TURZII",55357,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:23:21",1243,1234,3,6,0,419,413,0,6,0,395,24,1366,947,13,152,111,66,16,16,21
13,CLUJ,"LICEUL TEORETIC ”PAVEL DAN”",191,"MUNICIPIUL CÂMPIA TURZII",55357,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:52:40",1241,1232,0,5,4,469,460,0,5,4,458,10,1378,910,22,90,180,79,50,20,17
13,CLUJ,"LICEUL TEORETIC ”PAVEL DAN”",189,"MUNICIPIUL CÂMPIA TURZII",55357,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:30:22",1054,1041,4,8,1,442,433,0,8,1,432,10,1164,722,20,109,178,74,27,14,10
13,CLUJ,"LICEUL TEORETIC ”PAVEL DAN”",190,"MUNICIPIUL CÂMPIA TURZII",55357,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:22:07",1023,1012,1,9,1,428,418,0,9,1,417,7,1118,688,9,114,184,44,46,6,14
13,CLUJ,"LICEUL TEORETIC ”PAVEL DAN”",193,"MUNICIPIUL CÂMPIA TURZII",55357,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:46:25",1157,1151,1,5,0,490,485,0,5,0,477,13,1265,775,23,103,182,68,60,27,14
13,CLUJ,"LICEUL TEORETIC ”PAVEL DAN”",188,"MUNICIPIUL CÂMPIA TURZII",55357,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:43:41",842,837,0,4,1,358,353,0,4,1,348,10,923,565,18,94,138,53,33,5,7
13,CLUJ,"LICEUL TEORETIC ”PAVEL DAN”",192,"MUNICIPIUL CÂMPIA TURZII",55357,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:32:18",1033,1026,0,7,0,394,387,0,7,0,386,8,1131,737,28,101,129,77,27,16,8
13,CLUJ,"SC GIMNAZIALA MIHAI VITEAZU-SALA DE SPORT",197,"MUNICIPIUL CÂMPIA TURZII",55357,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:02:12",1198,1194,0,2,2,530,526,0,2,2,524,6,1319,789,47,88,199,104,39,19,28
