precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PĂPĂROIU NOLICĂ-CORNEL-PARTIDUL SOCIAL DEMOCRAT-voturi","DUMITRU BEBE-UNIUNEA SALVAȚI ROMÂNIA-voturi","DOBRE ILIE-PARTIDUL NAȚIONAL LIBERAL-voturi"
17,DOLJ,"CĂMINUL CULTURAL",355,GHERCEŞTI,72409,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:19:15",1162,1041,0,111,10,886,765,0,111,10,865,21,1135,249,632,85,148
17,DOLJ,"ŞCOALA GENERALĂ GÂRLEŞTI",356,GHERCEŞTI,72409,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:05:20",424,378,0,35,11,341,295,0,35,11,332,9,400,59,237,61,34
17,DOLJ,"ŞCOALA GENERALĂ UNGURENI",357,GHERCEŞTI,72409,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:36:29",299,247,0,42,10,220,168,0,42,10,214,6,308,88,167,34,13
