precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi"
31,PRAHOVA,"GRADINITA CHIOJDEANCA",372,CHIOJDEANCA,132645,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:01:13",772,720,0,16,36,602,550,0,16,36,575,27,800,198,186,230,96,21,42
31,PRAHOVA,"SCOALA TRENU",373,CHIOJDEANCA,132645,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:14:48",452,431,0,12,9,355,334,0,12,9,336,17,534,181,188,105,20,11,12
