precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TRUŞCĂ FILOFTEIA-MIHAELA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DINCĂ CRISTIAN-CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BLEJAN MIHĂIŢĂ-GEORGE-PARTIDUL SOCIAL DEMOCRAT-voturi","MANDA ION-ROMÂNIA SOCIALISTĂ-voturi","BLEJAN DAMIAN-FORȚA DREPTEI-voturi","MIHAI CONSTANTIN-CĂTĂLIN-PARTIDUL S.O.S. ROMÂNIA-voturi"
40,VÂLCEA,"ȘCOALA CU CLASELE I-VIII AVRĂMEȘTI",365,SCUNDU,172947,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:02:37",621,577,1,15,28,400,356,1,15,28,383,17,660,260,127,26,194,0,26,10
40,VÂLCEA,"ȘCOALA CU CLASELE I-VIII SCUNDU",364,SCUNDU,172947,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:11:21",853,788,0,18,47,589,524,0,18,47,561,28,930,341,102,89,338,3,27,2
