precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi"
39,VASLUI,"CĂMINUL CULTURAL BOȚEȘTI",232,BOŢEŞTI,162871,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:58:25",718,690,0,6,22,396,368,0,6,22,377,19,805,409,208,69,31,8,13,48
39,VASLUI,"CĂMINUL CULTURAL GUGEȘTI",233,BOŢEŞTI,162871,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:51:45",770,749,1,4,16,426,405,1,4,16,410,16,806,380,237,28,36,23,14,72
