precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COCIUBA VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","ALBU RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","VESE VALENTIN-DORU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
5,BIHOR,"CĂMINUL CULTURAL",655,VÂRCIOROG,32090,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:13:59",803,784,0,19,0,596,577,0,19,0,585,10,880,285,490,65,30
5,BIHOR,"CĂMINUL CULTURAL FÂȘCA",656,VÂRCIOROG,32090,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:30:26",358,332,0,26,0,284,258,0,26,0,281,3,372,88,264,6,11
5,BIHOR,"ȘCOALA GIMNAZIALĂ NR.2",657,VÂRCIOROG,32090,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:57:18",451,425,0,26,0,312,286,0,26,0,301,6,461,154,286,7,8
