precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MAROCICO PETRU-PARTIDUL NAȚIONAL LIBERAL-voturi","JECALO VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SCHIPOR NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL ULMA",504,ULMA,150702,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:07:28",528,526,0,0,2,297,295,0,0,2,289,8,600,303,157,5,127
35,SUCEAVA,"SALA DE ŞEDINŢE A CONSILIULUI LOCAL ULMA",506,ULMA,150702,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:16",355,353,0,1,1,214,212,0,1,1,209,5,404,190,84,11,114
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ LUPCINA",505,ULMA,150702,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:49:07",760,757,0,3,0,465,462,0,3,0,447,18,800,335,166,94,187
