precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CUCUTIANU NECULAI-PARTIDUL SOCIAL DEMOCRAT-voturi","BALAŞCA MARIAN-LUCIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CADAR MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi"
24,IAŞI,"FOSTA ŞCOALĂ SATUL SCOPOSENI",510,HORLEŞTI,97517,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:51:17",238,231,0,4,3,134,127,0,4,3,128,6,300,166,23,14,91
24,IAŞI,"GRĂDINIȚA BOGDĂNEŞTI",509,HORLEŞTI,97517,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:56:10",549,540,1,6,2,265,257,0,6,2,251,14,600,335,50,27,174
24,IAŞI,"ŞCOALA GIMNAZIALĂ HORLEŞTI CORP B",508,HORLEŞTI,97517,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:42",686,670,1,1,14,369,353,1,1,14,346,23,700,331,32,31,283
24,IAŞI,"ŞCOALA GIMNAZIALĂ HORLEŞTI CORP B",507,HORLEŞTI,97517,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:22:58",898,872,1,1,24,510,485,0,1,24,487,23,1000,490,50,40,397
