precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PAŞANIUC SĂNDEL-voturi","COZMIŢĂ MIRCEA-voturi"
24,IAŞI,"CĂMINUL CULTURAL TUNGUJEI",734,ŢIBĂNEŞTI,99780,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:27:29",470,462,0,4,4,191,183,0,4,4,174,17,500,309,7,48,50,2,17,50,0
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL GRIEȘTI",730,ŢIBĂNEŞTI,99780,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 00:41:47",216,212,0,4,0,99,95,0,4,0,92,7,300,201,5,24,25,2,31,5,0
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL RECEA",733,ŢIBĂNEŞTI,99780,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:46:34",110,102,0,8,0,66,58,0,8,0,58,8,200,134,0,16,17,2,5,18,0
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL ȚIBĂNEȘTI",727,ŢIBĂNEŞTI,99780,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:38:09",990,980,0,9,1,451,441,0,9,1,435,16,1000,549,38,229,110,13,24,19,2
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL ȚIBĂNEȘTI",726,ŢIBĂNEŞTI,99780,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:25:04",890,880,4,3,3,391,384,1,3,3,359,28,957,169,20,171,100,14,31,20,3
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL VĂLENII",735,ŢIBĂNEŞTI,99780,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:40:08",228,217,0,6,5,112,101,0,6,5,106,6,300,188,43,33,14,5,11,0,0
24,IAŞI,"ȘCOALA GIMNAZIALĂ ”DR. PETRU BRÂNZEI” JIGORENI",731,ŢIBĂNEŞTI,99780,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:18:36",555,550,0,5,0,244,239,0,5,0,234,10,600,356,19,115,73,7,18,2,0
24,IAŞI,"ȘCOALA GIMNAZIALĂ GLODENII GÎNDULUI",729,ŢIBĂNEŞTI,99780,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:03:36",1079,1070,0,3,6,369,360,0,3,6,335,34,1200,831,38,142,115,5,13,10,12
24,IAŞI,"ȘCOALA GIMNAZIALĂ GLODENII GÎNDULUI",728,ŢIBĂNEŞTI,99780,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:36:19",1091,1085,0,3,3,390,384,0,3,3,347,43,1100,710,34,161,88,20,28,9,7
24,IAŞI,"ȘCOALA GIMNAZIALĂ RĂSBOIENI",732,ŢIBĂNEŞTI,99780,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:06:02",757,746,1,6,4,355,344,1,6,4,334,21,800,445,10,200,87,15,12,6,4
