precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GRECU-MURĂRESCU ALIN-VASILE-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL BALOȘEȘTI",581,TOMEŞTI,158895,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:01:25",113,108,0,3,2,90,85,0,3,2,88,2,150,60,22,55,4,7
37,TIMIŞ,"CĂMINUL CULTURAL LUNCANII DE JOS",583,TOMEŞTI,158895,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:25:01",268,258,0,6,4,210,200,0,6,4,203,7,300,90,27,152,17,7
37,TIMIŞ,"CĂMINUL CULTURAL ROMÂNEŞTI",584,TOMEŞTI,158895,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:52:01",403,398,0,2,3,270,265,0,2,3,253,17,433,163,89,151,7,6
37,TIMIŞ,"CĂMINUL CULTURAL TOMEŞTI",580,TOMEŞTI,158895,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:16:14",266,260,0,3,3,204,198,0,3,3,201,3,300,96,64,68,10,59
37,TIMIŞ,"CASA DE CULTURĂ COLONIA FABRICII",582,TOMEŞTI,158895,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:44:14",625,609,0,8,8,357,341,0,8,8,330,27,700,343,48,133,119,30
