precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi"
12,CĂLĂRAŞI,"CONSILIUL LOCAL VILCELELE",233,VÂLCELELE,94731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:45:55",476,431,1,8,36,286,242,0,8,36,273,13,515,229,273
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA FLORENTA ALBU VILCELELE",232,VÂLCELELE,94731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:00:09",879,787,0,7,85,460,369,0,7,84,436,24,963,503,436
