precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
5,BIHOR,"CĂMIN CULTURAL",325,CETARIU,28415,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:22:05",207,193,0,7,7,124,110,0,7,7,120,4,192,68,4,67,7,42
5,BIHOR,"CLĂDIRE ADMINISTRATIVĂ",322,CETARIU,28415,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:43:32",927,904,0,14,9,627,604,0,14,9,601,26,998,371,8,203,17,373
5,BIHOR,"ŞCOALA GENERALĂ",323,CETARIU,28415,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:42:40",505,496,0,6,3,299,290,0,6,3,290,9,560,261,6,86,8,190
5,BIHOR,"ŞCOALA GENERALĂ",324,CETARIU,28415,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:58:09",204,188,0,9,7,109,93,0,9,7,101,8,202,93,21,7,62,11
