precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STOICEA LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ZAMFIR CRISTIANA-PARTIDUL NAȚIONAL LIBERAL-voturi"
36,TELEORMAN,"CĂMIN CULTURAL",141,CIUPERCENI,151709,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:01:57",755,681,0,39,35,509,435,0,39,35,497,12,782,273,297,200
36,TELEORMAN,"CLUB SĂTESC",142,CIUPERCENI,151709,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:26:58",515,428,1,58,28,419,332,1,58,28,411,8,482,63,196,215
