precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MLAGIU IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","SUCEA EUGENIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TUŢĂ MARIUS-CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","FĂSUI GIGEL-FORȚA DREPTEI-voturi"
17,DOLJ,"SCOALA GENERALA CU CLASELE L-LV LEAMNA DE JOS",272,BUCOVĂŢ,69964,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:15:06",358,338,0,19,1,250,230,0,19,1,240,10,400,150,83,6,147,4
17,DOLJ,"SCOALA GENERALA CU CLASELE L-LV LEAMNA DE SUS",273,BUCOVĂŢ,69964,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:43:36",364,344,0,20,0,234,214,0,20,0,225,9,400,166,42,4,169,10
17,DOLJ,"SCOALA GENERALA CU CLASELE L-VLLL BUCOVAT",271,BUCOVĂŢ,69964,3,PART,PRCNCT,P,P_SV,"2024-06-12 15:59:05",1705,1655,0,41,9,1096,1046,0,41,9,1069,27,1719,623,260,36,769,4
17,DOLJ,"SCOALA GENERALA CU CLASELE L-VLLL PALILULA",274,BUCOVĂŢ,69964,4,PART,PRCNCT,P,P_SV,"2024-06-12 15:52:37",628,613,1,13,1,345,330,1,13,1,340,5,700,355,112,4,222,2
17,DOLJ,"SCOALA GENERALA CU CLASELE L-VLLL SARBATOAREA",275,BUCOVĂŢ,69964,3,PART,PRCNCT,P,P_SV,"2024-06-12 15:44:11",649,627,0,20,2,434,412,0,20,2,387,47,700,266,142,5,232,8
