precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DOGARU EMANUEL-MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","PREDESCU TITUS-UNIUNEA SALVAȚI ROMÂNIA-voturi","MUNTEANU PAULICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","CALANGIU ALEXANDRU-FORȚA DREPTEI-voturi"
30,OLT,"LICEUL IANCU JIANU",227,"IANCU JIANU",127288,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:23:20",1265,1247,0,8,10,689,671,0,8,10,671,18,1385,696,66,27,556,22
30,OLT,"SCOALA GENERALA NR 1 IANCU JIANU",226,"IANCU JIANU",127288,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:56:53",1424,1412,0,5,7,723,711,0,5,7,700,23,1555,832,107,20,533,40
30,OLT,"ŞCOALA GIMNAZIALĂ DOBRICENI",228,"IANCU JIANU",127288,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:10:36",771,756,0,9,6,420,405,0,9,6,401,19,847,427,76,16,300,9
