precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MUŞUROI IRINEL-CODRUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","VOINEA SERGIU-MARIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","CIUCĂ CONSTANTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NĂSTASE AMALIA-PARTIDUL NAȚIONAL LIBERAL-voturi"
17,DOLJ,"GRĂDINIŢA CU PROGRAM NORMAL NR. 2 BĂILEȘTI",187,"MUNICIPIUL BĂILEŞTI",70316,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:31",971,967,0,4,0,342,338,0,4,0,323,19,1100,758,208,18,29,68
17,DOLJ,"GRĂDINIŢA CU PROGRAM NORMAL NR. 8 BĂILEȘTI",185,"MUNICIPIUL BĂILEŞTI",70316,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:10:01",1281,1271,0,6,4,502,492,0,6,4,483,19,1400,898,292,36,19,136
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 7 BĂILEȘTI",180,"MUNICIPIUL BĂILEŞTI",70316,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:07:47",743,731,0,9,3,338,326,0,9,3,326,12,900,562,224,7,18,77
17,DOLJ,"LICEUL TEHNOLOGIC” ŞTEFAN ANGHEL” BĂILEȘTI",186,"MUNICIPIUL BĂILEŞTI",70316,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:15:19",619,612,0,7,0,253,246,0,7,0,250,3,700,447,123,20,15,92
17,DOLJ,"LICEUL TEORETIC ”MIHAI VITEAZUL” BĂILEȘTI",181,"MUNICIPIUL BĂILEŞTI",70316,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:42:06",900,890,1,8,1,369,360,0,8,1,353,16,1000,631,228,13,13,99
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”AMZA PELLEA ” BĂILEȘTI",184,"MUNICIPIUL BĂILEŞTI",70316,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:06:46",730,715,3,12,0,278,266,0,12,0,266,12,800,522,159,13,17,77
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”AMZA PELLEA ” BĂILEȘTI",183,"MUNICIPIUL BĂILEŞTI",70316,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:02:54",968,961,1,4,2,393,386,1,4,2,374,19,1100,707,234,15,21,104
17,DOLJ,"ŞCOALA GIMNAZIALĂ”AMZA PELLEA” BĂILEȘTI",182,"MUNICIPIUL BĂILEŞTI",70316,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:19:33",1440,1434,0,5,1,505,499,0,5,1,487,18,1500,995,292,12,16,167
17,DOLJ,"ŞCOALA GIMNAZIALĂ NR. 1 BĂILEȘTI",174,"MUNICIPIUL BĂILEŞTI",70316,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:37:47",1369,1362,0,6,1,568,561,0,6,1,534,34,1495,927,348,21,27,138
17,DOLJ,"ȘCOALA GIMNAZIALĂ NR. 1 BĂILEȘTI",175,"MUNICIPIUL BĂILEŞTI",70316,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:47:34",1091,1083,1,7,0,335,328,0,7,0,315,20,1200,865,176,16,14,109
17,DOLJ,"ŞCOALA GIMNAZIALĂ NR. 3 BĂILEȘTI",176,"MUNICIPIUL BĂILEŞTI",70316,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:14:41",468,460,0,8,0,182,174,0,8,0,173,9,600,418,119,9,11,34
17,DOLJ,"ŞCOALA GIMNAZIALĂ NR. 3 BĂILEȘTI",177,"MUNICIPIUL BĂILEŞTI",70316,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:04:32",638,627,0,9,2,267,256,0,9,2,257,10,700,433,163,8,17,69
17,DOLJ,"ŞCOALA GIMNAZIALĂ NR. 3 BĂILEȘTI",178,"MUNICIPIUL BĂILEŞTI",70316,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:38:14",861,852,0,8,1,383,374,0,8,1,359,24,900,517,228,8,12,111
17,DOLJ,"ŞCOALA GIMNAZIALĂ NR. 5 ”AV. P. IVANOVICI” BĂILEȘTI",179,"MUNICIPIUL BĂILEŞTI",70316,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:46:30",896,886,3,7,0,323,316,0,7,0,308,15,1000,677,190,12,17,89
17,DOLJ,"ŞCOALA GIMNAZIALĂ NR. 6 BĂILEȘTI",188,"MUNICIPIUL BĂILEŞTI",70316,3,PART,PRCNCT,P,P_SV,"2024-06-10 14:21:55",1283,1271,3,3,6,557,548,0,3,6,541,16,1300,743,272,25,47,197
17,DOLJ,"ŞCOALA PRIMARĂ BALASAN",189,"MUNICIPIUL BĂILEŞTI",70316,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:14:24",463,460,0,3,0,250,247,0,3,0,242,8,500,250,120,3,11,108
