precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi"
20,GORJ,"GRĂDINIŢA HOTĂROASA",328,URDARI,82733,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:14:17",440,429,0,8,3,302,291,0,8,3,281,21,500,198,112,89,30,50
20,GORJ,"ŞCOALA GIMNAZIALĂ FÂNTÂNELE",329,URDARI,82733,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:23:43",767,761,0,1,5,547,541,0,1,5,516,31,874,327,85,221,132,78
20,GORJ,"ŞCOALA GIMNAZIALĂ NR. 1 URDARI",327,URDARI,82733,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:58:05",1310,1285,0,9,16,869,844,0,9,16,839,30,1400,531,158,301,162,218
