precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
29,NEAMŢ,"CĂMINUL CULTURAL",248,DOCHIA,125098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:19:31",110,104,0,6,0,57,51,0,6,0,53,4,156,99,9,5,24,2,13
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.1",246,DOCHIA,125098,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:01:48",793,787,1,5,0,416,411,0,5,0,392,24,900,484,35,56,172,29,100
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.1",247,DOCHIA,125098,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:34:12",1089,1080,1,7,1,621,612,1,7,1,571,50,1200,579,52,90,246,38,145
