precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MURAD MOHAMMAD-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MITROI FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","GRASA CĂTĂLIN-NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","STANCOVICI CRISTIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","PANĂ MIHAI-SIMION-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PALAZ CLAUDIU-IORGA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BĂDRĂGAN DUMITRU-PARTIDUL ECOLOGIST ROMÂN-voturi","LUPU MIHAI-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
14,CONSTANŢA,"ȘCOALA I-IV POTÂRNICHEA",547,TOPRAISAR,63072,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:45:59",406,397,0,9,0,210,201,0,9,0,206,4,400,190,41,52,69,30,2,8,3,1
14,CONSTANŢA,"ȘCOALA I-VIII BIRUINȚA",545,TOPRAISAR,63072,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:17:57",681,667,0,14,0,352,338,0,14,0,349,3,700,347,45,119,142,33,0,7,1,2
14,CONSTANŢA,"ȘCOALA I-VIII MOVILIȚA",546,TOPRAISAR,63072,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:02:38",1003,986,0,10,7,523,506,0,10,7,502,21,1100,577,102,139,157,41,4,42,7,10
14,CONSTANŢA,"ŞCOALA MARE TUZLA",551,TUZLA,60721,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:37:11",1820,1803,0,9,8,961,944,0,9,8,900,35,2000,1065,212,248,218,58,14,85,30,35
14,CONSTANŢA,"ŞCOALA MICĂ TUZLA",550,TUZLA,60721,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:51:38",1753,1723,2,22,6,997,969,0,22,6,961,36,1900,903,236,281,235,39,18,85,43,24
14,CONSTANŢA,"ȘCOALA NOUĂ LUMINA",476,LUMINA,63152,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:22:36",1904,1891,2,8,3,957,946,0,8,3,926,31,2097,1140,191,331,208,50,22,87,17,20
14,CONSTANŢA,"ŞCOALA NR. 29 ”MIHAI VITEAZU”",155,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:49:39",622,613,1,8,0,294,286,0,8,0,285,9,702,408,40,86,65,11,5,54,12,12
14,CONSTANŢA,"ȘCOALA OITUZ",480,LUMINA,63152,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:34:16",690,687,1,2,0,369,367,0,2,0,364,5,800,431,71,124,128,19,0,15,4,3
14,CONSTANŢA,"ŞCOALA PORT HÂRŞOVA",298,"ORAŞ HÂRŞOVA",60801,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 22:53:16",1105,1099,0,6,0,565,559,0,6,0,521,44,1193,626,124,162,205,12,3,3,6,6
14,CONSTANŢA,"SCOALA PRIMARĂ COROANA",369,ALBEŞTI,60945,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:09:19",100,92,0,7,1,67,60,0,6,1,64,3,100,33,19,36,6,0,2,1,0,0
14,CONSTANŢA,"ŞCOALA PRIMARA” ION CREANGA” SCHITU",417,COSTINEŞTI,63286,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 22:21:49",1939,1889,6,29,15,1271,1227,0,29,15,1242,29,2001,724,244,552,309,38,4,58,26,11
14,CONSTANŢA,"ŞCOALA PRIMARĂ NR.1 BĂLTĂGEŞTI",419,CRUCEA,61559,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:02:18",328,326,0,2,0,203,201,0,2,0,192,11,400,197,36,136,14,4,0,1,0,1
14,CONSTANŢA,"ȘCOALA PRIMARĂ NR. 1 DULGHERU",533,SARAIU,62823,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:12:38",440,421,0,8,11,271,252,0,8,11,260,11,500,228,12,72,161,9,1,3,0,2
14,CONSTANŢA,"ȘCOALA PRIMARĂ NR.1 PENINSULA NĂVODARI",334,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:20:34",597,589,0,8,0,242,234,0,8,0,220,21,600,353,51,39,43,30,4,22,13,18
14,CONSTANŢA,"ȘCOALA PRIMARA NR 1 VALENI",442,DOBROMIR,61737,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:59:20",747,732,0,4,11,504,489,0,4,11,447,33,800,320,5,244,192,4,0,0,1,1
14,CONSTANŢA,"ȘCOALA PRIMARĂ NR. 2 ARSA",368,ALBEŞTI,60945,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:06:55",540,532,0,7,1,299,291,0,7,1,282,15,604,307,47,163,37,15,0,15,3,2
14,CONSTANŢA,"SCOALA PRIMARA NR 2 DOBROMIR DEAL",439,DOBROMIR,61737,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:37:31",276,270,0,0,6,209,203,0,0,6,201,7,300,91,5,157,30,3,0,0,0,6
14,CONSTANŢA,"SCOALA PRIMARA NR 2 FACLIA",530,SALIGNY,63318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:13:21",715,714,1,0,0,296,295,1,0,0,285,11,800,504,37,37,153,21,5,28,1,3
14,CONSTANŢA,"ȘCOALA PRIMARĂ NR.2 MIREASA",541,TÂRGUŞOR,62985,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:48:35",272,252,0,18,2,179,159,0,18,2,176,3,300,121,17,60,85,7,1,4,0,2
14,CONSTANŢA,"ȘCOALA PRIMARĂ NR.2 NEGURENI",381,BĂNEASA,61069,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:17:18",543,525,0,4,14,352,334,0,4,14,330,20,600,248,36,215,59,6,0,3,1,10
14,CONSTANŢA,"SCOALA PRIMARA NR.3",521,PEŞTERA,62707,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:50:18",593,584,3,5,1,285,278,1,5,1,269,16,600,315,46,83,112,24,0,0,0,4
14,CONSTANŢA,"ŞCOALA PRIMARĂ NR.3 CREDINŢA",392,CHIRNOGENI,61210,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:40:30",252,247,0,5,0,99,94,0,5,0,95,4,300,201,26,29,22,9,2,6,0,1
14,CONSTANŢA,"ȘCOALA PRIMARA NR 3 LESPEZI",440,DOBROMIR,61737,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:23:10",439,427,0,10,2,340,328,0,10,2,305,35,499,159,5,148,145,3,1,3,0,0
14,CONSTANŢA,"ȘCOALA PRIMARĂ NR. 3 PANTELIMON DE JOS",515,PANTELIMON,62609,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:58:13",232,226,0,2,4,147,141,0,2,4,146,1,300,153,12,105,20,5,0,2,0,2
14,CONSTANŢA,"ŞCOALA PRIMARĂ NR.3 ŞIRIU",423,CRUCEA,61559,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:24:07",174,170,0,4,0,105,101,0,4,0,103,2,200,95,7,88,6,2,0,0,0,0
14,CONSTANŢA,"ȘCOALA PRIMARA NR 3 STEFAN CEL MARE",531,SALIGNY,63318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:53:46",472,467,0,5,0,219,214,0,5,0,216,3,500,281,20,34,113,14,1,30,1,3
14,CONSTANŢA,"ȘCOALA PRIMARĂ NR.3 VÎRTOP",371,ALBEŞTI,60945,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:07:49",240,230,0,8,2,160,150,0,8,2,154,6,300,140,37,86,13,5,1,11,0,1
