precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","CORĂBIAN ADRIANA-MARIA-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CIREŞOAIA",90,BRANIŞTEA,32660,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:24:17",1153,1096,0,12,45,825,768,0,12,45,814,11,1224,399,12,14,781,5,1,0,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MĂLUŢ",91,BRANIŞTEA,32660,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:26:03",460,451,0,3,6,315,306,0,3,6,304,11,503,188,150,103,5,1,8,2,35
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI BRANIŞTEA",89,BRANIŞTEA,32660,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:59:49",961,916,3,10,32,620,577,1,10,32,605,15,1004,384,130,208,117,10,30,24,86
