precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LĂDARU OVIDIU-GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","POPESCU AUREL-PARTIDUL SOCIAL DEMOCRAT-voturi","ZAHARIA MIRCEA-IULIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
27,MEHEDINŢI,"SCOALA GENERALĂ I-IV CĂZĂNEŞTI",140,CĂZĂNEŞTI,111097,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:18:57",860,743,1,104,12,625,509,0,104,12,598,25,807,184,169,386,43
27,MEHEDINŢI,"SCOALA GENERALĂ I-IV SEVERINEŞTI",141,CĂZĂNEŞTI,111097,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:16",1123,956,0,144,23,797,630,0,144,23,769,28,1048,75,270,483,16
