precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
28,MUREŞ,"CĂMINUL CULTURAL ȘĂULIA",539,ŞĂULIA,119750,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:24:56",1279,1204,0,28,47,910,835,0,28,47,829,81,1384,472,303,120,50,356
28,MUREŞ,"CLUBUL TINERETULUI ȘĂULIA",540,ŞĂULIA,119750,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:35:41",284,249,0,27,8,207,172,0,27,8,199,8,290,83,62,29,5,103
