precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","FORȚA DREPTEI-voturi"
24,IAŞI,"CASA DE PRAZNUIRE",493,HELEŞTENI,97465,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:18:39",168,161,0,6,1,100,93,0,6,1,93,7,200,100,18,3,70,0,1,1
24,IAŞI,"CENTRUL EDUCATIV PENTRU COPII SARACI HARMANEASA",492,HELEŞTENI,97465,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:26:59",578,566,0,6,6,358,346,0,6,6,336,22,600,242,111,7,179,6,19,14
24,IAŞI,"SCOALA GIMNAZIALA HELESTENI",491,HELEŞTENI,97465,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:40:39",686,666,1,10,9,450,430,1,10,9,439,11,700,250,116,7,256,4,14,42
24,IAŞI,"SCOALA GIMNAZIALA OBOROCENI",494,HELEŞTENI,97465,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:20:09",595,573,0,9,13,327,305,0,9,13,310,17,600,273,113,16,161,8,3,9
