precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
1,ALBA,"AŞEZĂMÂNTUL SOCIAL - GRĂDINIŢA ”SFÂNTA IRINA”",79,"MUNICIPIUL BLAJ",1348,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:37:05",1135,1131,0,4,0,548,544,0,4,0,538,10,1300,752,3,15,35,314,53,19,99
1,ALBA,"ASOCIAŢIA JUDEŢEANĂ A VÂNĂTORILOR SI PESCARILOR SPORTIVI ALBA - CLUBUL BLAJ",84,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:28:03",324,320,0,3,1,172,168,0,3,1,169,3,400,228,2,11,3,119,7,2,25
1,ALBA,"BAZA DE AGREMENT A MUNICIPIULUI BLAJ",78,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:28:44",728,716,0,9,3,341,329,0,9,3,320,21,800,459,6,23,22,198,9,10,52
1,ALBA,"BAZIN OLIMPIC",31,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:09:26",1253,1242,2,9,0,458,449,0,9,0,445,13,1400,942,8,23,72,186,51,10,95
1,ALBA,"BAZIN OLIMPIC",30,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:22:40",1087,1078,0,8,1,437,428,0,8,1,425,12,1100,663,11,16,51,179,50,5,113
1,ALBA,"BIBLIOTECA COMUNALĂ",240,CRICĂU,4142,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:44:18",1057,995,1,25,36,790,729,0,25,36,769,21,1139,349,4,16,41,440,11,26,231
1,ALBA,"CĂMIN CULTURAL",225,"CETATEA DE BALTĂ",3958,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:03:48",590,574,0,4,12,247,231,0,4,12,227,20,633,386,0,7,25,133,4,8,50
1,ALBA,"CĂMIN CULTURAL",226,"CETATEA DE BALTĂ",3958,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:15:05",870,829,1,8,32,503,463,0,8,32,471,32,955,452,4,22,61,198,15,113,58
1,ALBA,"CĂMIN CULTURAL",250,FĂRĂU,4302,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:14:31",145,137,2,5,1,111,104,1,5,1,104,7,150,39,1,1,1,20,0,75,6
1,ALBA,"CĂMIN CULTURAL ASINIP",297,"LOPADEA NOUĂ",5210,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:40:55",78,70,0,8,0,52,44,0,8,0,50,2,79,27,0,2,0,30,2,2,14
1,ALBA,"CĂMIN CULTURAL BĂLCACIU",288,JIDVEI,5103,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 16:29:16",1120,1078,0,10,32,507,465,0,10,32,469,38,1192,685,6,16,80,285,10,7,65
1,ALBA,"CĂMIN CULTURAL CĂPUD",171,"ORAŞ TEIUŞ",8096,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:38:04",262,254,0,7,1,156,148,0,7,1,147,9,279,123,3,4,18,33,3,13,73
1,ALBA,"CĂMIN CULTURAL CISTEI",317,MIHALŢ,5700,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:39:12",502,454,0,29,19,367,319,0,29,19,360,7,518,151,1,12,44,263,7,5,28
1,ALBA,"CĂMIN CULTURAL DOŞTAT",246,DOŞTAT,4268,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:10:13",462,409,0,31,22,335,282,0,31,22,321,14,460,125,0,3,8,223,29,3,55
