precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DRĂGHICI MARIAN-voturi"
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV BONCANI",218,DRĂGOEŞTI,169547,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:37:23",446,418,1,14,13,333,306,0,14,13,318,15,480,147,141,77,49,51
40,VÂLCEA,"ȘCOALA CU CLASELE I- IV GEAMĂNA- BUCIUMENI",217,DRĂGOEŞTI,169547,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:59:44",554,507,1,29,17,427,380,1,29,17,416,11,580,153,212,101,27,76
40,VÂLCEA,"ŞCOALA CU CLASELE I-VIII DRĂGOEŞTI",216,DRĂGOEŞTI,169547,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:01:40",592,560,0,24,8,417,385,0,24,8,399,18,620,203,143,162,38,56
