precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","MITROI CRISTIAN-GIGEL-voturi"
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NADRAG",487,NĂDRAG,157898,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:08:10",1020,1000,1,5,14,545,526,0,5,14,530,15,1100,555,339,57,6,80,9,20,19
37,TIMIŞ,"LICEUL TEHNOLOGIC ”TRAIAN GROZĂVESCU” NĂDRAG",488,NĂDRAG,157898,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:06:13",1061,1047,1,8,5,570,557,0,8,5,558,12,1100,530,301,73,15,116,9,19,25
37,TIMIŞ,"ŞCOALA PRIMARA CRIVINA",489,NĂDRAG,157898,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:46:31",240,229,0,8,3,168,157,0,8,3,162,6,323,155,97,13,43,4,1,4,0
