precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FORȚA DREPTEI-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
40,VÂLCEA,"CĂMIN CULTURAL(FOSTUL CĂMIN CULTURAL DIN CURTEA PRIMĂRIEI)",320,ORLEŞTI,171879,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:07:45",1453,1407,0,1,45,923,877,0,1,45,872,51,1550,627,102,201,557,12
40,VÂLCEA,"GRĂDINIŢA SILEA",321,ORLEŞTI,171879,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:40:05",821,797,0,6,18,531,507,0,6,18,511,20,900,369,65,130,297,19
