precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PRODAN FLORIN-STELIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LUNG CORNEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
33,SĂLAJ,"ŞCOALA CU CLASELE I - IV SÎNTĂ MĂRIA",271,"SÂNMIHAIU ALMAŞULUI",142676,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:56:45",310,305,0,4,1,209,204,0,4,1,198,11,350,141,51,147
33,SĂLAJ,"SCOALA PRIMARĂ BERCEA",270,"SÂNMIHAIU ALMAŞULUI",142676,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:06:37",139,134,0,5,0,80,75,0,5,0,77,3,150,70,6,71
33,SĂLAJ,"SEDIUL CONSILIU LOCAL SÎNMIHAIU ALMAŞULUI",269,"SÂNMIHAIU ALMAŞULUI",142676,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:42:05",824,808,1,11,4,486,471,0,11,4,467,19,879,393,60,407
