precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALDEA IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SEVESTREAN VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","HEBIAN VERGIL-PARTIDUL SOCIAL DEMOCRAT-voturi"
1,ALBA,"CĂMINUL CULTURAL BUCERDEA GRÂNOASĂ",212,"BUCERDEA GRÂNOASĂ",9026,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:29:04",1050,1024,2,2,22,754,730,0,2,22,745,9,1200,446,320,390,35
1,ALBA,"ŞCOALA GIMNAZIALĂ IOAN MAIORESCU BUCERDEA GRANOASĂ",213,"BUCERDEA GRÂNOASĂ",9026,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:19:01",763,749,0,1,13,486,472,0,1,13,473,13,796,310,169,282,22
