precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BERES MARIUS-ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ERDEI ZSIGMOND-voturi","AZURAC GHEORGHE-CRISTIAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","SÎRCA GAVRIL-FORȚA DREPTEI-voturi","CHIŞ STELIAN-VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","SĂLĂJAN NATALIA-IOANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
32,"SATU MARE","SCOALA GENERALA BERVENI",143,BERVENI,137032,2,PART,PRCNCT,P,P_SV,"2024-06-11 14:26:16",1635,1584,7,8,36,988,944,2,8,34,958,30,1800,812,3,303,621,1,20,10
32,"SATU MARE","SCOALA GENERALA LUCACENI",144,BERVENI,137032,3,PART,PRCNCT,P,P_SV,"2024-06-11 14:46:14",1223,1188,0,3,32,746,713,0,3,30,703,43,1340,594,65,117,234,16,198,73
