precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL VERDE-voturi"
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL TRIFEȘTI",713,TRIFEŞTI,99600,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:58",1387,1364,0,6,17,797,774,0,6,17,767,30,1500,703,23,539,117,63,10,15
24,IAŞI,"ŞCOALA GIMNAZIALĂ HERMEZIU",714,TRIFEŞTI,99600,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:55:32",750,740,0,3,7,479,469,0,3,7,462,17,800,321,9,268,162,15,2,6
24,IAŞI,"ŞCOALA PRIMARĂ VLADOMIRA",715,TRIFEŞTI,99600,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:08:38",196,194,0,1,1,116,114,0,1,1,108,8,200,84,1,74,21,8,0,4
24,IAŞI,"ȘCOALA PRIMARĂ ZABOLOTENI",716,TRIFEŞTI,99600,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:36:14",617,610,0,6,1,422,415,0,6,1,406,16,715,293,8,249,44,66,1,38
