precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHEŞCU DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","HABET MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","BALTAG PETRICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","ROTARU VALENTIN-PARTIDUL VERDE-voturi","URSU MIHAI-DANIEL-PARTIDUL S.O.S. ROMÂNIA-voturi"
24,IAŞI,"GRADINITA CU PROGRAM NORMAL PODOLENII DE SUS",415,COZMEŞTI,96593,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:00:06",1210,1198,0,0,12,415,403,0,0,12,401,14,1200,785,83,137,178,3,0
24,IAŞI,"GRUP ŞCOLAR COZMESTI",413,COZMEŞTI,96593,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:58:39",1878,1826,0,33,19,686,634,0,33,19,656,30,1800,1114,78,326,243,3,6
24,IAŞI,"SCOALA PODOLENII DE JOS",414,COZMEŞTI,96593,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:34:22",327,318,0,2,7,155,146,0,2,7,143,12,335,180,26,49,61,1,6
