precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BRATU MARIAN-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
19,GIURGIU,"GRĂDINIŢA DE COPII SLOBOZIA",213,SLOBOZIA,100549,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 17:16:48",1105,1101,0,3,1,618,614,0,3,1,585,33,1202,584,67,462,56
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.1 SLOBOZIA",212,SLOBOZIA,100549,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:11:27",763,763,0,0,0,428,428,0,0,0,409,19,843,415,99,251,59
