precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DINCĂ CONSTANTIN-EUGEN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NĂNUŢI ADRIAN-ION-PARTIDUL SOCIAL DEMOCRAT-voturi","NIŢICĂ IULIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL LIVEZILE",212,LIVEZILE,112600,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:56:50",761,637,0,92,32,556,432,0,92,32,543,13,722,166,17,488,38
27,MEHEDINŢI,"ŞCOALA PRIMARĂ IZVORĂLU DE JOS",213,LIVEZILE,112600,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:57:18",183,126,0,54,3,146,89,0,54,3,146,0,152,6,5,128,13
27,MEHEDINŢI,"ŞCOALA PRIMARĂ IZVORU ANEŞTILOR",214,LIVEZILE,112600,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:57:32",416,342,0,67,7,304,230,0,67,7,286,18,377,73,22,256,8
