precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
17,DOLJ,"CAMIN CULTURAL GIUBEGA",363,GIUBEGA,72506,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:43:45",939,846,2,67,24,614,524,0,67,23,584,30,906,292,59,27,9,41,150,36,262
17,DOLJ,"PRIMARIA VECHE",364,GIUBEGA,72506,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 15:03:38",881,806,0,65,10,625,550,0,65,10,596,29,900,275,96,48,5,2,206,12,227
