precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BUDA GHEORGHE-IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MĂRCEAN ADRIAN-MIRCEA-UNIUNEA SALVAȚI ROMÂNIA-voturi","BOLCHIŞ ANTONETA-GEORGINA-PARTIDUL NAȚIONAL LIBERAL-voturi","ALB VASILE-DORINEL-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",173,"ORAŞ ŞOMCUTA MARE",109176,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:59:42",212,193,0,11,8,163,144,0,11,8,162,1,300,137,137,4,16,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",168,"ORAŞ ŞOMCUTA MARE",109176,2,PART,PRCNCT,P,P_SV,"2024-06-11 23:14:17",621,607,2,8,4,375,363,0,8,4,363,12,700,325,244,24,33,62
26,MARAMUREŞ,"CĂMINUL CULTURAL",170,"ORAŞ ŞOMCUTA MARE",109176,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:55:09",486,475,0,5,6,306,295,0,5,6,303,3,500,194,251,9,20,23
26,MARAMUREŞ,"CĂMINUL CULTURAL",174,"ORAŞ ŞOMCUTA MARE",109176,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:00:11",600,569,1,12,18,467,437,0,12,18,462,5,628,161,401,10,24,27
26,MARAMUREŞ,"CASA DE CULTURĂ",164,"ORAŞ ŞOMCUTA MARE",109176,2,PART,PRCNCT,P,P_SV,"2024-06-11 23:39:00",869,850,4,11,4,473,458,0,11,4,456,17,900,427,310,44,71,31
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT",166,"ORAŞ ŞOMCUTA MARE",109176,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:41:36",947,933,1,7,6,555,542,0,7,6,539,16,1000,445,385,58,52,44
26,MARAMUREŞ,"ȘCOALA GENERALĂ",171,"ORAŞ ŞOMCUTA MARE",109176,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:04:03",197,184,0,9,4,162,149,0,9,4,158,4,200,38,134,10,10,4
26,MARAMUREŞ,"ȘCOALA GENERALĂ",172,"ORAŞ ŞOMCUTA MARE",109176,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:33:51",536,502,0,29,5,350,316,0,29,5,340,10,600,250,265,25,38,12
26,MARAMUREŞ,"ȘCOALA GENERALĂ",169,"ORAŞ ŞOMCUTA MARE",109176,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:46:54",315,305,0,7,3,207,197,0,7,3,202,5,400,193,152,2,42,6
26,MARAMUREŞ,"ȘCOALA GENERALĂ CU CLASELE I-IV",165,"ORAŞ ŞOMCUTA MARE",109176,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:39:03",664,657,0,7,0,325,318,0,7,0,322,3,800,475,230,31,34,27
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 2",167,"ORAŞ ŞOMCUTA MARE",109176,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:02:40",848,837,1,10,0,526,516,0,10,0,373,153,900,374,307,5,19,42
