precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CODRESCU DĂNUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","IVAŞCU VALENTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VOICU NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","SIMA NICUŞOR-PARTIDUL PRO ROMÂNIA-voturi"
18,GALAŢI,"ŞCOALA GIMNAZIALA ELENA DOAMNA,",285,"CUZA VODĂ",77595,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:46:38",1044,1012,0,4,28,584,552,0,4,28,562,22,1201,617,298,25,219,20
18,GALAŢI,"ŞCOALA GIMNAZIALA ELENA DOAMNA,",284,"CUZA VODĂ",77595,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:39:36",1163,1138,0,5,20,629,604,0,5,20,604,25,1218,589,370,27,196,11
