precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PREDA IULIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MĂNDESCU VALERIU-PARTIDUL SOCIAL DEMOCRAT-voturi"
30,OLT,"ŞCOALA GIMNAZIALĂ DOBA",278,PLEŞOIU,128221,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:36:25",1223,1106,0,106,11,871,754,0,106,11,857,14,1209,338,201,656
30,OLT,"ŞCOALA GIMNAZIALĂ PLEŞOIU",277,PLEŞOIU,128221,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:50:45",1262,1245,0,0,17,917,900,0,0,17,885,25,1380,0,413,472
