precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","RUPA ŞTEFAN-voturi","MIŞTAR IOAN-voturi"
13,CLUJ,"CAMINUL CULTURAL LUNCANI",528,LUNA,58311,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:22:59",1199,1176,1,6,16,597,574,1,6,16,546,51,1315,718,8,45,37,104,76,5,115,156
13,CLUJ,"CĂMINUL CULTURAL ”PROF. NICOLAE MAZARE” LUNA",526,LUNA,58311,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:33:37",1042,1020,1,5,16,569,548,0,5,16,539,30,1147,578,39,84,87,119,146,40,5,19
13,CLUJ,"CĂMINUL CULTURAL ”PROF. NICOLAE MAZARE” LUNA",525,LUNA,58311,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:59:58",1110,1070,3,9,28,567,530,0,9,28,545,22,1215,648,8,157,45,116,110,61,9,39
13,CLUJ,"GRĂDINIŢA CU PROGRAM NORMAL GLIGORESTI",527,LUNA,58311,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:44:11",488,470,1,5,12,281,264,0,5,12,258,23,523,242,2,17,36,73,92,7,13,18
