precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CREŢU ION-PARTIDUL NAȚIONAL LIBERAL-voturi","ZAMAN VALENTIN-SORIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
10,BUZĂU,"CAMINUL CULTURAL CHILIILE",198,CHILIILE,46108,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:37:19",212,186,0,3,23,163,137,0,3,23,163,0,240,77,13,150
10,BUZĂU,"ŞCOALA TRESTIOARA",199,CHILIILE,46108,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:57:03",165,146,0,4,15,117,98,0,4,15,116,1,171,54,1,115
