precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRULĂ  CĂTĂLIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","BĂLUȚĂ  DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","BURCEA  GEORGE-VALENTIN-PARTIDUL OAMENILOR TINERI-voturi","CIUCU  CIPRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","CICEALĂ  ANA-MARIA-SĂNĂTATE EDUCAȚIE NATURĂ SUSTENABILITATE-voturi","FLOAREA  LIVIU-GHEORGHE-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","MACOVEI  GHEORGHE-PARTIDUL ROMÂNIA MARE-voturi","CREȚU  OANA-PARTIDUL SOCIAL DEMOCRAT UNIT-voturi","LASCA  MIHAI-IOAN-PATRIOȚII POPORULUI ROMÂN-voturi","LAZĂR  RAREȘ-PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","ALEXANDRESCU  ANCA-NICOLETA-DREPTATE PENTRU BUCUREȘTI-voturi","TRIFU DĂNUȚ-ANGELO-CANDIDAT INDEPENDENT-voturi","TEODOROVICI  EUGEN-ORLANDO-CANDIDAT INDEPENDENT-voturi","NEȚOIU  GHEORGHE-CANDIDAT INDEPENDENT-voturi","GHEORGHE  VLAD-DAN-CANDIDAT INDEPENDENT-voturi","NEGROTĂ  ANGELA-CANDIDAT INDEPENDENT-voturi","FILIP  CONSTANTIN-TITIAN-CANDIDAT INDEPENDENT-voturi"
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","ACADEMIA DE POLIȚIE ”ALEXANDRU IOAN CUZA”",166,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:50:58",1226,1126,89,11,0,402,390,1,11,0,402,0,1330,928,97,64,1,184,13,0,0,0,0,0,42,0,1,0,0,0,0
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","ACADEMIA DE STUDII ECONOMICE DIN BUCUREŞTI",73,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:59:26",1547,1427,109,11,0,471,460,0,11,0,469,2,1690,1219,72,96,0,185,21,0,0,1,1,0,89,0,0,1,0,3,0
49,"MUNICIPIUL BUCUREŞTI - SECTOR 6","A.D.P.D.U. SECTOR 6",1078,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:42:44",1197,1084,101,12,0,460,447,1,12,0,457,3,1000,540,49,62,1,231,26,0,0,0,0,0,88,0,0,0,0,0,0
49,"MUNICIPIUL BUCUREŞTI - SECTOR 6","CENTRUL EUROPEAN SECTOR 6",1174,"BUCUREŞTI SECTORUL 6",179196,2,PART,PRCNCT,PCJ,PG_SV,"2025-12-08 00:11:55",1315,1298,3,13,1,553,539,0,13,1,551,2,1400,847,47,90,0,241,19,1,1,0,0,0,145,2,1,1,2,0,1
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","CENTRUL NAŢIONAL DE CALIFICARE ŞI INSTRUIRE FEROVIARĂ CENAFER",89,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:32:21",1545,1520,14,11,0,624,612,1,11,0,624,0,1700,1076,99,94,0,267,44,0,0,2,0,1,114,1,0,1,0,1,0
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","CENTRUL NAŢIONAL DE CALIFICARE ŞI INSTRUIRE FEROVIARĂ CENAFER",90,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 23:04:15",1128,1104,14,10,0,405,395,0,10,0,404,1,1250,845,66,87,0,133,21,1,0,1,1,0,87,0,6,0,0,1,0
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","CENTRUL NAŢIONAL DE CALIFICARE ŞI INSTRUIRE FEROVIARĂ CENAFER",91,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:49:11",1496,1343,142,11,0,567,556,0,11,0,564,3,1650,1083,72,111,0,208,39,0,0,1,0,0,124,1,2,2,1,3,0
46,"MUNICIPIUL BUCUREŞTI - SECTOR 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",390,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:03:33",1341,1293,39,9,0,464,455,0,9,0,463,1,1400,936,66,94,1,194,15,0,0,0,0,0,91,0,1,0,0,0,1
46,"MUNICIPIUL BUCUREŞTI - SECTOR 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",389,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:10:30",1039,1031,3,5,0,388,383,0,5,0,387,1,1200,812,45,78,0,139,26,1,0,0,0,0,93,2,1,1,0,1,0
46,"MUNICIPIUL BUCUREŞTI - SECTOR 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",388,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:15:26",1439,1372,57,10,0,462,452,0,10,0,455,7,1600,1138,72,84,0,158,20,0,0,0,0,0,119,1,0,1,0,0,0
46,"MUNICIPIUL BUCUREŞTI - SECTOR 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",387,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:38:27",1383,1306,68,9,0,491,481,1,9,0,489,2,1400,909,56,106,0,179,30,0,1,0,1,0,108,0,3,0,1,2,2
46,"MUNICIPIUL BUCUREŞTI - SECTOR 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",393,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:14:33",1143,1095,37,11,0,341,330,0,11,0,337,4,1200,859,41,66,0,118,24,0,0,0,0,0,82,1,2,1,0,1,1
46,"MUNICIPIUL BUCUREŞTI - SECTOR 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",392,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:09:03",1607,1573,20,14,0,509,495,0,14,0,505,4,1800,1291,83,85,0,225,29,0,1,2,0,1,74,0,4,0,0,0,1
46,"MUNICIPIUL BUCUREŞTI - SECTOR 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",391,"BUCUREŞTI SECTORUL 3",179169,2,PART,PRCNCT,PCJ,PG_SV,"2025-12-08 07:06:51",1164,1129,28,7,0,418,411,0,7,0,414,4,1200,782,59,88,0,144,22,1,0,0,0,0,97,1,0,0,2,0,0
45,"MUNICIPIUL BUCUREŞTI - SECTOR 2","CLUB SPORTIV ŞCOLAR NR. 2",312,"BUCUREŞTI SECTORUL 2",179150,2,PART,PRCNCT,PCJ,PG_SV,"2025-12-08 03:28:22",1259,1242,10,7,0,478,471,0,7,0,477,1,1400,922,87,92,0,168,37,0,1,2,1,0,82,1,3,2,0,1,0
45,"MUNICIPIUL BUCUREŞTI - SECTOR 2","CLUB SPORTIV ŞCOLAR NR. 2",311,"BUCUREŞTI SECTORUL 2",179150,2,PART,PRCNCT,PCJ,PG_SV,"2025-12-08 03:32:26",1550,1494,43,11,2,584,571,0,11,2,581,3,1600,1016,84,116,0,203,33,3,1,0,0,1,135,1,1,2,0,0,1
49,"MUNICIPIUL BUCUREŞTI - SECTOR 6","CLUBUL SENIORILOR MIHAI EMINESCU",1050,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 23:00:16",1590,1534,31,7,18,415,390,0,7,18,412,3,1600,1185,38,66,0,201,23,0,0,1,0,0,76,0,2,0,0,5,0
45,"MUNICIPIUL BUCUREŞTI - SECTOR 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",351,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:32:53",877,850,14,13,0,291,277,1,13,0,287,4,1000,709,47,44,1,120,20,0,1,0,2,0,51,1,0,0,0,0,0
45,"MUNICIPIUL BUCUREŞTI - SECTOR 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",352,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:38:13",1302,1281,16,4,1,493,488,0,4,1,489,4,1400,907,83,71,3,184,47,0,1,0,1,0,95,2,1,1,0,0,0
