county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ȚOFEI SIMION-PARTIDUL SOCIAL DEMOCRAT-voturi","PISTEN IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","HOLDIȘ IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MOIȘ-STOICA PETRU-PARTIDUL NAȚIONAL LIBERAL-voturi","RUS IOANA-PARTIDUL SOCIAL DEMOCRAT-voturi","DUNCA TOADER-PARTIDUL S.O.S. ROMÂNIA-voturi","IUSCO IRINA-ADRIANA-GABRIELA-CANDIDAT INDEPENDENT-voturi"
26,MARAMUREŞ,"POIENILE DE SUB MUNTE",108473,1,FINAL,UAT,P,P_CE,"2025-12-08 02:45:34",7734,7690,2,32,10,3385,3341,2,32,10,3315,70,8492,5107,1603,476,1236,0,0,0,0
26,MARAMUREŞ,ŞIEU,179613,1,FINAL,UAT,P,P_CE,"2025-12-07 23:54:44",1939,1878,1,14,46,1154,1094,0,14,46,1144,10,2080,926,0,0,0,121,613,7,403
