county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALI EGEVIT-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NICULCEA PAUL-PARTIDUL NAȚIONAL LIBERAL-voturi","CONSTANTIN ION-UNIUNEA SALVAȚI ROMÂNIA-voturi","OSMAN SINAN-PARTIDUL S.O.S. ROMÂNIA-voturi","IUSEIN VISEL-PARTIDUL SOCIAL DEMOCRAT-voturi","SIMION ALEXANDRU-GEORGE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MANTEA DANIEL-EMILIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","JIANU MONICA-MIHAELA-PARTIDUL S.O.S. ROMÂNIA-voturi","IONESCU ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","FLOROAEI ANIŞOARA-FORȚA ALTERNATIVĂ ROMÂNĂ-voturi"
14,CONSTANŢA,DOBROMIR,61737,1,FINAL,UAT,P,P_CE,"2025-12-08 00:03:48",2629,2603,0,9,17,1557,1531,0,9,17,1523,34,2856,1299,13,508,7,3,992,0,0,0,0,0
14,CONSTANŢA,LUMINA,63152,1,FINAL,UAT,P,P_CE,"2025-12-08 02:03:31",10607,10548,13,26,20,4911,4862,3,26,20,4849,56,11636,6731,0,0,0,0,0,639,2110,64,1984,52
