precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SIMION ALEXANDRU-GEORGE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MANTEA DANIEL-EMILIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","JIANU MONICA-MIHAELA-PARTIDUL S.O.S. ROMÂNIA-voturi","IONESCU ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","FLOROAEI ANIŞOARA-FORȚA ALTERNATIVĂ ROMÂNĂ-voturi"
14,CONSTANŢA,"CĂMINUL CULTURAL LUMINA",480,LUMINA,63152,1,PART,PRCNCT,P,P_SV,"2025-12-08 00:15:22",1754,1749,1,3,1,823,819,0,3,1,812,11,1947,1124,78,423,11,294,6
14,CONSTANŢA,"GRĂDINIȚA LUMINA",479,LUMINA,63152,1,PART,PRCNCT,P,P_SV,"2025-12-08 00:31:19",1957,1946,0,5,6,897,886,0,5,6,884,13,2144,1247,127,392,10,340,15
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ NR.1 LUMINA - CLĂDIREA C8",481,LUMINA,63152,1,PART,PRCNCT,P,P_SV,"2025-12-08 00:05:16",2054,2043,3,4,4,930,922,0,4,4,911,13,2248,1324,118,414,11,361,7
14,CONSTANŢA,"ȘCOALA NOUĂ LUMINA",478,LUMINA,63152,1,PART,PRCNCT,P,P_SV,"2025-12-07 23:09:16",1996,1987,2,3,4,948,940,1,3,4,941,7,2189,1241,118,401,12,401,9
14,CONSTANŢA,"ȘCOALA OITUZ",482,LUMINA,63152,1,PART,PRCNCT,P,P_SV,"2025-12-07 22:14:37",703,699,1,3,0,334,331,0,3,0,333,1,771,437,81,68,5,178,1
14,CONSTANŢA,"ȘCOALA SIBIOARA",483,LUMINA,63152,1,PART,PRCNCT,P,P_SV,"2025-12-07 21:33:50",382,379,1,2,0,186,184,0,2,0,184,2,418,232,16,52,3,112,1
14,CONSTANŢA,"ȘCOALA VECHE LUMINA",477,LUMINA,63152,1,PART,PRCNCT,P,P_SV,"2025-12-07 22:13:35",1761,1745,5,6,5,793,780,2,6,5,784,9,1919,1126,101,360,12,298,13
