county_nce,county_name,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL OAMENILOR TINERI-mandate","CANDIDAT INDEPENDENT-voturi","CANDIDAT INDEPENDENT-mandate","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate","FORȚA ALTERNATIVĂ ROMÂNĂ-voturi","FORȚA ALTERNATIVĂ ROMÂNĂ-mandate","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-mandate"
5,BIHOR,1,FINAL,CNTY,P,P_BEJ,"2025-12-08 12:47:51",2354,2270,5,10,69,1617,1538,1,10,68,1601,16,2560,943,1218,1,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,2,FINAL,CNTY,P,P_BEJ,"2025-12-09 08:44:56",7396,7379,12,5,0,3268,3262,1,5,0,3202,66,8122,4854,1330,1,823,0,403,0,335,0,191,0,72,0,48,0,0,0,0,0
11,CARAŞ-SEVERIN,1,FINAL,CNTY,P,P_BEJ,"2025-12-08 12:48:55",886,859,3,3,21,486,462,0,3,21,476,10,943,457,320,1,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CONSTANŢA,1,FINAL,CNTY,P,P_BEJ,"2025-12-08 02:49:36",13236,13151,13,35,37,6468,6393,3,35,37,6372,90,14492,8030,3102,2,2492,0,0,0,0,0,652,0,67,0,7,0,52,0,0,0
16,DÂMBOVIŢA,2,FINAL,CNTY,P,P_BEJ,"2025-12-09 08:44:28",12083,11876,7,179,21,6455,6255,0,179,21,6316,139,13063,6608,4257,1,1511,0,0,0,214,0,334,0,0,0,0,0,0,0,0,0
17,DOLJ,1,FINAL,CNTY,P,P_BEJ,"2025-12-08 12:49:28",1339,1286,0,20,33,961,908,0,20,33,946,15,1440,479,731,1,145,0,0,0,0,0,58,0,2,0,0,0,0,0,10,0
23,IALOMIŢA,2,FINAL,CNTY,P,P_BEJ,"2025-12-09 08:42:08",1376,1342,1,2,31,818,790,0,2,26,802,16,1509,691,0,0,0,0,0,0,454,1,94,0,254,0,0,0,0,0,0,0
24,IAŞI,1,FINAL,CNTY,P,P_BEJ,"2025-12-08 12:49:57",3581,3482,0,20,79,2161,2063,0,20,78,2134,27,3910,1749,1219,1,860,0,47,0,0,0,8,0,0,0,0,0,0,0,0,0
26,MARAMUREŞ,1,FINAL,CNTY,P,P_BEJ,"2025-12-08 05:39:41",9673,9568,3,46,56,4539,4435,2,46,56,4459,80,10572,6033,2216,2,1357,0,0,0,0,0,476,0,7,0,0,0,0,0,0,0
34,SIBIU,1,FINAL,CNTY,P,P_BEJ,"2025-12-08 12:50:41",1063,1011,9,16,27,638,588,7,16,27,630,8,1117,479,213,0,417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
